,day_of_week,hour,quantities,item_count,food_prep_time_minutes
25703,Wednesday,3.75,1.0,1,8
25704,Thursday,17.75,6.0,4,24
25705,Thursday,22.75,8.0,7,21
25706,Saturday,18.75,9.0,5,45
25707,Thursday,18.75,5.0,3,21
25708,Wednesday,12.75,3.0,3,13
25709,Wednesday,14.75,13.0,9,30
25710,Saturday,20.75,4.0,4,12
25711,Wednesday,15.75,1.0,1,11
25712,Wednesday,19.75,12.0,10,45
25713,Tuesday,16.75,2.0,1,14
25714,Thursday,14.75,13.0,9,42
25715,Friday,8.75,5.0,4,21
25716,Wednesday,15.75,1.0,1,10
25717,Friday,19.75,16.0,10,35
25718,Sunday,18.75,7.0,4,45
25719,Thursday,21.75,2.0,2,9
25720,Friday,9.75,4.0,4,12
25721,Tuesday,20.75,17.0,10,48
25722,Sunday,20.75,13.0,9,42
25723,Wednesday,13.75,15.0,10,40
25724,Sunday,9.75,12.0,8,31
25725,Friday,22.75,2.0,2,14
25726,Friday,9.75,4.0,2,34
25727,Thursday,14.75,7.0,4,39
25728,Tuesday,6.75,12.0,9,14
25729,Wednesday,13.75,14.0,10,24
25730,Saturday,16.75,14.0,10,40
25731,Thursday,14.75,17.0,9,35
25732,Friday,16.75,3.0,3,15
25733,Saturday,12.75,4.0,3,14
25734,Tuesday,14.75,15.0,10,28
25735,Thursday,18.75,3.0,1,42
25736,Wednesday,7.75,8.0,6,24
25737,Saturday,13.75,7.0,5,34
25738,Thursday,12.75,7.0,6,29
25739,Thursday,22.75,3.0,3,8
25740,Monday,0.75,11.0,8,37
25741,Thursday,23.75,4.0,4,12
25742,Wednesday,16.75,4.0,3,16
25743,Sunday,17.75,5.0,2,17
25744,Friday,2.75,12.0,9,27
25745,Thursday,20.75,9.0,7,47
25746,Saturday,8.75,11.0,7,35
25747,Thursday,22.75,10.0,8,20
25748,Wednesday,12.75,4.0,4,13
25749,Friday,20.75,14.0,10,41
25750,Sunday,6.75,2.0,2,14
25751,Friday,12.75,7.0,5,27
25752,Thursday,20.75,17.0,9,49
25753,Tuesday,7.75,3.0,2,26
25754,Thursday,20.75,3.0,2,31
25755,Wednesday,23.75,2.0,2,11
25756,Thursday,15.75,2.0,2,16
25757,Wednesday,17.75,6.0,4,26
25758,Thursday,20.75,13.0,9,34
25759,Thursday,15.75,15.0,9,25
25760,Sunday,13.75,11.0,7,23
25761,Wednesday,9.75,1.0,1,12
25762,Friday,23.75,5.0,5,11
25763,Thursday,21.75,4.0,3,22
25764,Tuesday,9.75,2.0,2,10
25765,Thursday,18.75,10.0,9,15
25766,Tuesday,19.75,9.0,6,29
25767,Friday,18.75,6.0,5,18
25768,Friday,14.75,16.0,9,30
25769,Thursday,16.75,15.0,10,37
25770,Friday,21.75,4.0,3,18
25771,Thursday,15.75,1.0,1,6
25772,Friday,13.75,16.0,10,40
25773,Monday,14.75,5.0,4,19
25774,Saturday,12.75,3.0,2,11
25775,Friday,18.75,15.0,10,33
25776,Monday,11.75,1.0,1,11
25777,Friday,19.75,14.0,10,32
25778,Monday,17.75,13.0,8,36
25779,Saturday,22.75,15.0,10,31
25780,Tuesday,7.75,6.0,5,23
25781,Friday,18.75,2.0,2,10
25782,Wednesday,12.75,6.0,3,42
25783,Saturday,19.75,10.0,8,27
25784,Saturday,16.75,14.0,10,35
25785,Saturday,13.75,1.0,1,10
25786,Friday,22.75,16.0,9,41
25787,Thursday,22.75,7.0,6,24
25788,Monday,21.75,1.0,1,8
25789,Sunday,16.75,6.0,5,28
25790,Thursday,19.75,12.0,9,35
25791,Friday,21.75,1.0,1,8
25792,Wednesday,12.75,4.0,3,26
25793,Thursday,19.75,5.0,2,29
25794,Saturday,11.75,12.0,9,18
25795,Friday,13.75,11.0,9,45
25796,Saturday,18.75,8.0,7,20
25797,Saturday,16.75,6.0,5,20
25798,Thursday,8.75,3.0,2,19
25799,Thursday,22.75,8.0,6,23
25800,Saturday,11.75,11.0,8,27
25801,Friday,0.75,2.0,2,9
25802,Thursday,19.75,14.0,9,28
25803,Thursday,19.75,6.0,4,34
25804,Monday,20.75,13.0,8,40
25805,Monday,18.75,9.0,9,14
25806,Thursday,19.75,10.0,6,44
25807,Tuesday,6.75,13.0,9,21
25808,Saturday,13.75,3.0,3,11
25809,Tuesday,11.75,3.0,3,13
25810,Thursday,14.75,8.0,6,39
25811,Wednesday,7.75,8.0,5,23
25812,Wednesday,19.75,6.0,3,44
25813,Thursday,14.75,12.0,8,31
25814,Tuesday,10.75,5.0,4,19
25815,Monday,20.75,2.0,2,16
25816,Friday,12.75,8.0,6,27
25817,Tuesday,20.75,12.0,10,25
25818,Thursday,10.75,2.0,2,6
25819,Saturday,10.75,7.0,3,36
25820,Thursday,18.75,10.0,7,30
25821,Friday,18.75,10.0,7,46
25822,Wednesday,7.75,3.0,3,13
25823,Wednesday,13.75,5.0,4,15
25824,Wednesday,17.75,8.0,8,12
25825,Monday,13.75,4.0,2,31
25826,Thursday,12.75,9.0,7,24
25827,Monday,0.75,8.0,8,11
25828,Friday,12.75,7.0,7,13
25829,Thursday,18.75,10.0,6,49
25830,Thursday,14.75,6.0,4,41
25831,Thursday,23.75,8.0,5,41
25832,Thursday,19.75,4.0,2,29
25833,Thursday,23.75,3.0,1,26
25834,Friday,20.75,13.0,9,38
25835,Saturday,21.75,3.0,3,15
25836,Wednesday,14.75,4.0,4,11
25837,Wednesday,13.75,3.0,3,11
25838,Thursday,21.75,3.0,3,15
25839,Friday,17.75,4.0,4,13
25840,Wednesday,22.75,16.0,10,33
25841,Friday,22.75,12.0,10,16
25842,Thursday,20.75,10.0,5,42
25843,Friday,12.75,1.0,1,13
25844,Thursday,19.75,16.0,10,29
25845,Friday,10.75,1.0,1,9
25846,Tuesday,7.75,10.0,10,15
25847,Wednesday,19.75,10.0,7,29
25848,Thursday,15.75,1.0,1,13
25849,Tuesday,13.75,17.0,10,38
25850,Tuesday,14.75,6.0,4,38
25851,Friday,20.75,9.0,7,45
25852,Wednesday,9.75,3.0,3,9
25853,Monday,11.75,11.0,10,10
25854,Friday,18.75,14.0,8,47
25855,Thursday,15.75,2.0,2,12
25856,Friday,22.75,16.0,10,45
25857,Thursday,20.75,3.0,3,14
25858,Wednesday,20.75,10.0,10,15
25859,Wednesday,7.75,17.0,8,30
25860,Friday,21.75,14.0,10,33
25861,Wednesday,20.75,1.0,1,13
25862,Wednesday,2.75,10.0,8,28
25863,Friday,14.75,4.0,3,26
25864,Monday,14.75,16.0,10,23
25865,Friday,17.75,10.0,7,23
25866,Thursday,21.75,8.0,7,24
25867,Monday,16.75,5.0,4,14
25868,Saturday,16.75,19.0,10,30
25869,Friday,23.75,2.0,2,13
25870,Saturday,16.75,14.0,7,40
25871,Saturday,17.75,7.0,5,41
25872,Tuesday,20.75,16.0,9,30
25873,Thursday,19.75,7.0,5,33
25874,Friday,6.75,5.0,4,22
25875,Friday,13.75,10.0,7,45
25876,Thursday,22.75,11.0,10,15
25877,Thursday,19.75,3.0,1,45
25878,Thursday,9.75,10.0,7,25
25879,Monday,14.75,1.0,1,10
25880,Wednesday,13.75,1.0,1,9
25881,Thursday,18.75,4.0,3,32
25882,Saturday,19.75,13.0,7,45
25883,Thursday,10.75,11.0,10,22
25884,Monday,21.75,6.0,4,31
25885,Tuesday,19.75,9.0,6,29
25886,Saturday,18.75,9.0,7,24
25887,Thursday,16.75,8.0,7,28
25888,Wednesday,19.75,5.0,3,31
25889,Friday,21.75,8.0,5,43
25890,Thursday,19.75,6.0,5,15
25891,Friday,16.75,17.0,10,30
25892,Tuesday,23.75,14.0,8,37
25893,Monday,20.75,6.0,4,31
25894,Monday,21.75,12.0,7,42
25895,Thursday,20.75,14.0,8,45
25896,Sunday,21.75,9.0,8,25
25897,Tuesday,8.75,4.0,2,23
25898,Friday,23.75,5.0,5,15
25899,Sunday,23.75,11.0,7,38
25900,Sunday,18.75,8.0,5,33
25901,Tuesday,19.75,3.0,2,15
25902,Tuesday,5.75,6.0,5,12
25903,Friday,19.75,13.0,9,35
25904,Wednesday,20.75,7.0,4,48
25905,Friday,12.75,8.0,6,45
25906,Thursday,16.75,5.0,5,15
25907,Saturday,11.75,8.0,6,19
25908,Friday,19.75,13.0,10,32
25909,Friday,16.75,9.0,7,37
25910,Friday,20.75,6.0,4,27
25911,Tuesday,12.75,5.0,5,15
25912,Thursday,19.75,2.0,2,10
25913,Tuesday,8.75,9.0,5,33
25914,Wednesday,23.75,16.0,10,28
25915,Friday,4.75,5.0,3,17
25916,Thursday,15.75,8.0,6,30
25917,Thursday,19.75,3.0,3,12
25918,Saturday,17.75,10.0,9,26
25919,Friday,18.75,7.0,3,41
25920,Sunday,15.75,8.0,7,14
25921,Friday,23.75,9.0,7,31
25922,Saturday,18.75,2.0,2,14
25923,Wednesday,19.75,14.0,10,43
25924,Sunday,18.75,9.0,7,37
25925,Tuesday,13.75,11.0,8,28
25926,Wednesday,23.75,1.0,1,13
25927,Monday,15.75,10.0,9,21
25928,Monday,19.75,6.0,4,19
25929,Thursday,13.75,8.0,5,27
25930,Thursday,15.75,10.0,6,41
25931,Saturday,9.75,4.0,4,11
25932,Wednesday,13.75,2.0,2,14
25933,Saturday,20.75,3.0,2,12
25934,Thursday,19.75,6.0,6,12
25935,Thursday,15.75,7.0,5,18
25936,Wednesday,7.75,10.0,6,36
25937,Sunday,15.75,3.0,2,21
25938,Thursday,8.75,7.0,6,25
25939,Tuesday,13.75,17.0,10,28
25940,Friday,22.75,3.0,3,12
25941,Thursday,16.75,4.0,4,12
25942,Tuesday,6.75,5.0,3,27
25943,Thursday,21.75,1.0,1,14
25944,Monday,18.75,1.0,1,15
25945,Saturday,18.75,1.0,1,10
25946,Thursday,12.75,1.0,1,14
25947,Sunday,12.75,2.0,2,12
25948,Sunday,11.75,6.0,6,12
25949,Thursday,20.75,11.0,8,45
25950,Friday,19.75,1.0,1,8
25951,Wednesday,8.75,14.0,9,36
25952,Friday,17.75,4.0,3,14
25953,Monday,12.75,9.0,6,41
25954,Saturday,20.75,7.0,7,18
25955,Saturday,20.75,2.0,2,15
25956,Friday,12.75,13.0,10,33
25957,Friday,19.75,1.0,1,9
25958,Friday,8.75,10.0,7,26
25959,Friday,11.75,1.0,1,6
25960,Thursday,8.75,3.0,3,12
25961,Wednesday,18.75,11.0,7,42
25962,Thursday,21.75,2.0,1,22
25963,Thursday,7.75,15.0,10,36
25964,Monday,14.75,6.0,5,27
25965,Friday,14.75,17.0,10,34
25966,Thursday,14.75,9.0,5,27
25967,Wednesday,17.75,8.0,8,11
25968,Sunday,12.75,2.0,2,13
25969,Friday,23.75,2.0,2,12
25970,Friday,9.75,20.0,10,38
25971,Saturday,8.75,17.0,9,32
25972,Monday,18.75,2.0,1,25
25973,Thursday,12.75,13.0,9,23
25974,Wednesday,19.75,6.0,5,17
25975,Thursday,14.75,2.0,2,15
25976,Thursday,23.75,2.0,2,12
25977,Saturday,21.75,11.0,9,28
25978,Thursday,10.75,4.0,3,18
25979,Saturday,16.75,2.0,2,7
25980,Monday,18.75,4.0,4,13
25981,Saturday,23.75,10.0,5,28
25982,Saturday,14.75,10.0,7,36
25983,Sunday,3.75,4.0,4,10
25984,Thursday,12.75,8.0,7,26
25985,Saturday,16.75,3.0,3,12
25986,Friday,17.75,2.0,2,8
25987,Wednesday,11.75,9.0,8,23
25988,Monday,20.75,1.0,1,13
25989,Thursday,18.75,4.0,2,48
25990,Wednesday,20.75,4.0,2,23
25991,Friday,1.75,10.0,7,20
25992,Sunday,1.75,11.0,7,41
25993,Thursday,13.75,8.0,5,26
25994,Friday,19.75,3.0,2,31
25995,Sunday,7.75,10.0,6,23
25996,Monday,0.75,2.0,2,10
25997,Friday,16.75,3.0,3,15
25998,Saturday,19.75,11.0,6,41
25999,Thursday,9.75,10.0,7,23
26000,Tuesday,12.75,13.0,8,23
26001,Sunday,11.75,8.0,4,24
26002,Saturday,17.75,11.0,8,21
26003,Sunday,1.75,6.0,6,11
26004,Friday,2.75,5.0,3,35
26005,Monday,14.75,7.0,4,38
26006,Friday,15.75,10.0,8,34
26007,Tuesday,11.75,1.0,1,10
26008,Thursday,11.75,4.0,2,14
26009,Saturday,12.75,9.0,7,20
26010,Thursday,9.75,5.0,5,12
26011,Friday,17.75,4.0,3,23
26012,Tuesday,8.75,3.0,3,9
26013,Saturday,3.75,12.0,8,23
26014,Thursday,9.75,4.0,2,41
26015,Thursday,7.75,6.0,4,26
26016,Friday,13.75,12.0,10,23
26017,Thursday,12.75,7.0,4,32
26018,Saturday,2.75,16.0,8,33
26019,Thursday,20.75,4.0,2,33
26020,Wednesday,20.75,11.0,6,20
26021,Thursday,22.75,5.0,5,16
26022,Tuesday,19.75,5.0,3,21
26023,Friday,18.75,7.0,4,33
26024,Thursday,18.75,13.0,10,31
26025,Friday,11.75,3.0,3,12
26026,Sunday,16.75,14.0,8,34
26027,Sunday,21.75,4.0,3,13
26028,Friday,14.75,7.0,6,25
26029,Monday,12.75,4.0,4,15
26030,Wednesday,10.75,9.0,6,25
26031,Thursday,22.75,14.0,10,27
26032,Thursday,12.75,6.0,6,10
26033,Thursday,5.75,8.0,4,32
26034,Thursday,22.75,1.0,1,16
26035,Thursday,21.75,6.0,6,15
26036,Saturday,23.75,7.0,6,22
26037,Monday,7.75,6.0,5,22
26038,Tuesday,19.75,19.0,9,38
26039,Thursday,5.75,8.0,6,21
26040,Saturday,20.75,3.0,1,36
26041,Thursday,1.75,14.0,10,24
26042,Tuesday,12.75,5.0,4,12
26043,Sunday,17.75,15.0,10,21
26044,Wednesday,20.75,6.0,5,14
26045,Thursday,19.75,3.0,3,12
26046,Tuesday,16.75,9.0,9,12
26047,Monday,22.75,1.0,1,6
26048,Friday,21.75,7.0,5,38
26049,Friday,13.75,10.0,9,24
26050,Wednesday,13.75,13.0,8,42
26051,Wednesday,14.75,3.0,2,30
26052,Thursday,6.75,9.0,8,22
26053,Friday,13.75,9.0,6,38
26054,Saturday,13.75,1.0,1,15
26055,Thursday,0.75,5.0,4,14
26056,Tuesday,20.75,15.0,10,29
26057,Thursday,22.75,2.0,2,14
26058,Wednesday,1.75,6.0,4,20
26059,Thursday,17.75,4.0,4,14
26060,Wednesday,22.75,4.0,2,29
26061,Wednesday,8.75,6.0,4,25
26062,Thursday,20.75,14.0,8,44
26063,Tuesday,18.75,5.0,3,24
26064,Saturday,21.75,14.0,9,42
26065,Wednesday,13.75,10.0,6,36
26066,Sunday,12.75,5.0,5,15
26067,Friday,20.75,4.0,3,19
26068,Tuesday,15.75,2.0,2,15
26069,Sunday,22.75,9.0,7,19
26070,Sunday,20.75,4.0,3,22
26071,Friday,3.75,5.0,4,18
26072,Friday,15.75,12.0,9,27
26073,Tuesday,9.75,9.0,7,39
26074,Sunday,17.75,8.0,7,16
26075,Saturday,20.75,1.0,1,7
26076,Tuesday,17.75,9.0,5,37
26077,Friday,19.75,13.0,9,46
26078,Sunday,11.75,1.0,1,12
26079,Tuesday,18.75,7.0,4,35
26080,Friday,19.75,9.0,6,23
26081,Tuesday,13.75,11.0,9,30
26082,Thursday,10.75,15.0,10,34
26083,Saturday,20.75,1.0,1,12
26084,Thursday,15.75,4.0,3,24
26085,Thursday,7.75,10.0,5,35
26086,Thursday,16.75,7.0,6,29
26087,Wednesday,22.75,11.0,8,30
26088,Friday,23.75,1.0,1,11
26089,Thursday,18.75,2.0,2,14
26090,Saturday,23.75,6.0,5,28
26091,Wednesday,5.75,11.0,9,24
26092,Sunday,16.75,3.0,2,13
26093,Friday,20.75,1.0,1,14
26094,Friday,23.75,14.0,10,37
26095,Monday,15.75,1.0,1,12
26096,Friday,20.75,3.0,2,11
26097,Friday,9.75,7.0,5,11
26098,Thursday,21.75,13.0,10,38
26099,Tuesday,13.75,10.0,6,28
26100,Thursday,17.75,1.0,1,14
26101,Thursday,20.75,1.0,1,7
26102,Tuesday,7.75,4.0,2,33
26103,Tuesday,8.75,5.0,4,19
26104,Wednesday,16.75,7.0,5,33
26105,Tuesday,2.75,11.0,9,28
26106,Wednesday,14.75,5.0,4,17
26107,Sunday,19.75,6.0,5,26
26108,Wednesday,14.75,7.0,5,38
26109,Wednesday,13.75,14.0,7,35
26110,Monday,18.75,9.0,6,49
26111,Wednesday,9.75,7.0,4,34
26112,Friday,13.75,1.0,1,8
26113,Thursday,21.75,5.0,5,15
26114,Wednesday,18.75,9.0,6,27
26115,Monday,20.75,17.0,10,44
26116,Saturday,19.75,10.0,9,31
26117,Sunday,17.75,9.0,9,15
26118,Saturday,9.75,5.0,4,14
26119,Friday,21.75,16.0,10,38
26120,Thursday,12.75,14.0,9,26
26121,Sunday,6.75,18.0,10,27
26122,Saturday,20.75,1.0,1,9
26123,Friday,23.75,14.0,9,30
26124,Friday,23.75,4.0,4,10
26125,Wednesday,22.75,6.0,5,19
26126,Friday,9.75,8.0,6,34
26127,Thursday,20.75,4.0,3,22
26128,Saturday,1.75,9.0,6,27
26129,Thursday,22.75,9.0,5,29
26130,Monday,18.75,10.0,6,33
26131,Friday,12.75,3.0,3,10
26132,Thursday,22.75,14.0,10,39
26133,Tuesday,15.75,12.0,8,23
26134,Wednesday,16.75,1.0,1,11
26135,Wednesday,22.75,6.0,4,23
26136,Thursday,19.75,8.0,6,20
26137,Wednesday,13.75,10.0,5,43
26138,Friday,19.75,1.0,1,12
26139,Sunday,3.75,12.0,8,29
26140,Monday,15.75,13.0,8,23
26141,Thursday,21.75,1.0,1,11
26142,Thursday,9.75,4.0,4,11
26143,Tuesday,17.75,1.0,1,9
26144,Saturday,5.75,7.0,5,32
26145,Wednesday,21.75,13.0,8,38
26146,Wednesday,9.75,8.0,6,18
26147,Monday,9.75,9.0,7,16
26148,Saturday,9.75,8.0,3,39
26149,Thursday,16.75,12.0,8,38
26150,Thursday,9.75,6.0,5,25
26151,Friday,17.75,7.0,5,16
26152,Monday,14.75,6.0,6,10
26153,Friday,20.75,6.0,4,33
26154,Saturday,15.75,12.0,8,23
26155,Saturday,12.75,8.0,8,12
26156,Thursday,13.75,6.0,5,27
26157,Thursday,20.75,6.0,3,25
26158,Thursday,20.75,12.0,9,28
26159,Saturday,17.75,6.0,5,27
26160,Wednesday,12.75,7.0,5,27
26161,Saturday,16.75,13.0,9,34
26162,Tuesday,20.75,9.0,7,48
26163,Sunday,4.75,17.0,10,35
26164,Wednesday,22.75,16.0,10,43
26165,Wednesday,21.75,7.0,7,11
26166,Saturday,11.75,8.0,7,18
26167,Friday,18.75,9.0,7,36
26168,Monday,16.75,3.0,3,14
26169,Monday,18.75,9.0,5,47
26170,Friday,6.75,2.0,2,14
26171,Thursday,22.75,3.0,3,9
26172,Thursday,20.75,15.0,10,33
26173,Saturday,18.75,6.0,3,45
26174,Saturday,2.75,9.0,7,18
26175,Thursday,5.75,8.0,6,14
26176,Sunday,19.75,12.0,7,32
26177,Wednesday,10.75,6.0,4,19
26178,Wednesday,18.75,10.0,4,44
26179,Thursday,17.75,13.0,9,20
26180,Friday,11.75,3.0,3,12
26181,Monday,10.75,3.0,2,27
26182,Wednesday,15.75,9.0,8,19
26183,Monday,19.75,7.0,5,21
26184,Friday,19.75,9.0,6,41
26185,Thursday,12.75,7.0,5,21
26186,Wednesday,23.75,1.0,1,10
26187,Friday,8.75,5.0,4,19
26188,Wednesday,16.75,9.0,7,25
26189,Thursday,12.75,5.0,4,13
26190,Thursday,13.75,7.0,5,27
26191,Saturday,19.75,3.0,1,29
26192,Friday,19.75,7.0,6,19
26193,Thursday,20.75,1.0,1,11
26194,Friday,20.75,5.0,4,23
26195,Wednesday,10.75,11.0,6,38
26196,Friday,18.75,10.0,10,17
26197,Friday,19.75,4.0,4,13
26198,Friday,12.75,1.0,1,5
26199,Sunday,23.75,6.0,2,23
26200,Monday,10.75,14.0,10,35
26201,Saturday,21.75,2.0,2,13
26202,Tuesday,15.75,2.0,2,7
26203,Thursday,15.75,8.0,5,33
26204,Thursday,11.75,13.0,9,26
26205,Sunday,6.75,6.0,3,22
26206,Friday,15.75,12.0,6,42
26207,Tuesday,17.75,5.0,4,28
26208,Tuesday,10.75,2.0,2,12
26209,Wednesday,10.75,13.0,8,40
26210,Tuesday,3.75,14.0,10,28
26211,Wednesday,10.75,16.0,10,34
26212,Friday,15.75,4.0,4,10
26213,Monday,19.75,14.0,8,27
26214,Friday,17.75,9.0,7,20
26215,Sunday,15.75,14.0,10,41
26216,Wednesday,18.75,1.0,1,17
26217,Friday,21.75,14.0,9,30
26218,Wednesday,6.75,4.0,2,30
26219,Tuesday,18.75,7.0,6,26
26220,Sunday,19.75,3.0,3,18
26221,Sunday,10.75,13.0,10,18
26222,Monday,7.75,12.0,9,24
26223,Friday,1.75,4.0,4,9
26224,Wednesday,13.75,3.0,2,24
26225,Thursday,6.75,12.0,10,22
26226,Wednesday,17.75,7.0,3,44
26227,Thursday,8.75,16.0,8,37
26228,Friday,15.75,4.0,2,40
26229,Wednesday,19.75,10.0,9,18
26230,Tuesday,9.75,4.0,3,18
26231,Wednesday,16.75,1.0,1,15
26232,Wednesday,8.75,14.0,10,23
26233,Monday,17.75,17.0,10,31
26234,Friday,4.75,13.0,10,22
26235,Thursday,20.75,12.0,8,26
26236,Wednesday,19.75,7.0,5,46
26237,Saturday,16.75,4.0,3,19
26238,Tuesday,19.75,9.0,6,45
26239,Thursday,15.75,7.0,7,13
26240,Sunday,19.75,10.0,8,33
26241,Thursday,15.75,8.0,6,41
26242,Friday,20.75,10.0,7,33
26243,Friday,19.75,1.0,1,11
26244,Thursday,12.75,13.0,9,38
26245,Saturday,14.75,8.0,4,40
26246,Monday,17.75,5.0,2,27
26247,Friday,21.75,11.0,9,30
26248,Wednesday,19.75,5.0,4,19
26249,Friday,6.75,4.0,3,26
26250,Wednesday,17.75,4.0,2,28
26251,Thursday,13.75,8.0,6,31
26252,Monday,20.75,6.0,6,12
26253,Thursday,21.75,20.0,10,38
26254,Sunday,18.75,5.0,3,42
26255,Monday,18.75,10.0,6,43
26256,Friday,23.75,13.0,10,22
26257,Thursday,12.75,10.0,9,13
26258,Friday,13.75,12.0,9,28
26259,Monday,3.75,5.0,3,34
26260,Friday,14.75,10.0,8,22
26261,Friday,15.75,1.0,1,11
26262,Tuesday,22.75,11.0,9,34
26263,Saturday,17.75,5.0,4,16
26264,Sunday,20.75,12.0,8,44
26265,Saturday,23.75,4.0,2,26
26266,Monday,21.75,5.0,3,42
26267,Sunday,18.75,2.0,1,29
26268,Wednesday,23.75,2.0,2,13
26269,Tuesday,19.75,1.0,1,12
26270,Sunday,18.75,8.0,7,28
26271,Tuesday,17.75,2.0,1,15
26272,Thursday,20.75,5.0,5,12
26273,Monday,4.75,10.0,7,29
26274,Wednesday,8.75,5.0,5,12
26275,Wednesday,10.75,11.0,8,26
26276,Thursday,20.75,9.0,6,25
26277,Wednesday,19.75,1.0,1,6
26278,Saturday,18.75,3.0,3,13
26279,Saturday,20.75,1.0,1,15
26280,Thursday,18.75,9.0,7,24
26281,Wednesday,20.75,6.0,5,13
26282,Friday,6.75,2.0,2,8
26283,Thursday,16.75,5.0,4,21
26284,Thursday,20.75,19.0,10,47
26285,Wednesday,15.75,4.0,4,7
26286,Wednesday,19.75,13.0,7,45
26287,Thursday,15.75,4.0,4,12
26288,Sunday,15.75,2.0,2,16
26289,Wednesday,10.75,12.0,10,35
26290,Friday,5.75,11.0,8,24
26291,Tuesday,2.75,3.0,2,21
26292,Thursday,19.75,13.0,8,45
26293,Thursday,16.75,2.0,2,12
26294,Friday,3.75,1.0,1,5
26295,Tuesday,0.75,4.0,3,19
26296,Thursday,7.75,2.0,2,12
26297,Monday,20.75,8.0,7,25
26298,Friday,10.75,16.0,10,28
26299,Tuesday,13.75,3.0,3,11
26300,Tuesday,18.75,1.0,1,13
26301,Wednesday,18.75,6.0,5,14
26302,Thursday,14.75,9.0,7,21
26303,Tuesday,19.75,4.0,4,15
26304,Sunday,20.75,10.0,8,43
26305,Monday,18.75,12.0,7,42
26306,Friday,9.75,7.0,5,33
26307,Friday,16.75,9.0,8,12
26308,Wednesday,23.75,6.0,4,23
26309,Tuesday,20.75,13.0,7,45
26310,Wednesday,18.75,18.0,10,41
26311,Saturday,18.75,11.0,9,33
26312,Thursday,10.75,3.0,3,7
26313,Monday,21.75,1.0,1,12
26314,Friday,17.75,11.0,7,31
26315,Monday,15.75,10.0,5,30
26316,Sunday,10.75,3.0,3,13
26317,Tuesday,10.75,14.0,7,38
26318,Thursday,6.75,5.0,3,20
26319,Thursday,6.75,14.0,9,33
26320,Sunday,12.75,1.0,1,7
26321,Friday,12.75,2.0,2,15
26322,Sunday,23.75,3.0,3,16
26323,Tuesday,21.75,4.0,3,27
26324,Saturday,9.75,12.0,8,33
26325,Friday,12.75,13.0,9,36
26326,Saturday,9.75,2.0,2,8
26327,Thursday,9.75,1.0,1,4
26328,Saturday,8.75,7.0,7,14
26329,Friday,17.75,14.0,8,41
26330,Thursday,17.75,8.0,6,28
26331,Thursday,1.75,16.0,10,34
26332,Saturday,8.75,2.0,2,12
26333,Thursday,14.75,11.0,8,25
26334,Thursday,13.75,7.0,5,16
26335,Tuesday,12.75,3.0,3,12
26336,Saturday,15.75,7.0,6,25
26337,Wednesday,16.75,10.0,9,21
26338,Friday,19.75,10.0,8,32
26339,Thursday,19.75,4.0,2,25
26340,Saturday,13.75,8.0,7,26
26341,Thursday,17.75,12.0,8,39
26342,Friday,11.75,4.0,4,11
26343,Monday,23.75,16.0,9,24
26344,Wednesday,17.75,1.0,1,12
26345,Thursday,7.75,13.0,10,33
26346,Friday,19.75,11.0,6,23
26347,Thursday,20.75,1.0,1,6
26348,Wednesday,18.75,15.0,10,49
26349,Saturday,14.75,13.0,10,34
26350,Wednesday,18.75,5.0,2,32
26351,Friday,2.75,6.0,5,27
26352,Tuesday,11.75,1.0,1,11
26353,Thursday,21.75,2.0,2,16
26354,Tuesday,19.75,9.0,7,20
26355,Saturday,20.75,20.0,9,41
26356,Friday,1.75,15.0,10,35
26357,Friday,17.75,7.0,5,34
26358,Saturday,14.75,9.0,6,36
26359,Friday,11.75,11.0,6,34
26360,Sunday,23.75,9.0,7,45
26361,Thursday,20.75,2.0,2,5
26362,Wednesday,14.75,6.0,4,39
26363,Friday,14.75,7.0,7,14
26364,Monday,11.75,15.0,10,29
26365,Tuesday,21.75,1.0,1,10
26366,Saturday,18.75,11.0,8,44
26367,Saturday,19.75,7.0,4,25
26368,Thursday,19.75,6.0,4,20
26369,Friday,8.75,13.0,9,21
26370,Wednesday,23.75,5.0,5,12
26371,Sunday,14.75,5.0,5,13
26372,Thursday,22.75,3.0,3,11
26373,Saturday,13.75,6.0,4,20
26374,Thursday,20.75,11.0,8,41
26375,Wednesday,18.75,4.0,2,44
26376,Wednesday,17.75,8.0,6,19
26377,Tuesday,14.75,2.0,2,8
26378,Tuesday,19.75,5.0,3,29
26379,Friday,14.75,1.0,1,9
26380,Saturday,17.75,16.0,9,40
26381,Tuesday,13.75,11.0,7,25
26382,Thursday,19.75,3.0,3,14
26383,Friday,18.75,7.0,6,29
26384,Friday,23.75,19.0,10,44
26385,Thursday,12.75,8.0,6,27
26386,Thursday,5.75,2.0,1,13
26387,Saturday,14.75,12.0,7,22
26388,Thursday,11.75,10.0,6,26
26389,Thursday,16.75,8.0,5,26
26390,Thursday,22.75,6.0,3,29
26391,Saturday,7.75,10.0,6,20
26392,Thursday,19.75,9.0,6,29
26393,Wednesday,18.75,4.0,3,14
26394,Wednesday,14.75,16.0,8,41
26395,Saturday,20.75,17.0,10,26
26396,Thursday,17.75,5.0,5,13
26397,Wednesday,13.75,9.0,8,12
26398,Wednesday,20.75,15.0,10,43
26399,Thursday,22.75,7.0,6,27
26400,Thursday,18.75,6.0,5,20
26401,Thursday,22.75,3.0,3,12
